﻿English;German
a yellow square;ein gelbes Quadrat
a red triangle;ein rotes Dreieck
a grenn circle;ein grüner Kreis
a blue rectangle;ein blaues Rechteck
an orange stripe;ein oranger Streifen
a purple shape;eine violette Form
brown;braun
grey;grau
primary/secondary colours;Primär-/Sekundärfarben, Grund-/Mischfarben
round;rund
in the middle;in der Mitte
on the left/right side;auf der linken/rechten Seite, links/rechts
at the top;am oberen Ende, oben
at the bottom;am unteren Ende, unten
small, smaller;klein, kleiner
big, bigger;gross, grösser
a famous artis;ein berühmter Künstler, eine berühmte Künstlerin
a colourful picture;ein farbiges/buntes Bild
a black and white drawing;eine Schwarz-Weiss-Zeichnung
There is/are ...;Es gibt ...
It is ...;Es ist ...
You can see ...;Man kann ... sehen.
This picture makes me feel ...;Dieses Bild macht, dass ich mich ... fühle
my favourite poem;mein Lieblingsgedicht
exhibition;Ausstellung
go to the museum;ins Museum gehen
title;Titel
mean;bedeuten, meinen (sagen wollen)
describe;beschreiben
colour;färben, ausmalen